commName,state,fold,population,racepctblack,racePctWhite,racePctAsian,racePctHisp,pctUrban,medIncome,pctWFarmSelf,pctWInvInc,pctWPubAsst,pctWRetire,perCapInc,PctPopUnderPov,PctNotHSGrad,PctBSorMore,PctUnemployed,PctEmploy,PctEmplManu,PctEmplProfServ,PctOccupManu,FemalePctDiv,PctFam2Par,PctWorkMom,NumKidsBornNeverMar,PctKidsBornNeverMar,PctImmigRec10,PctRecImmig5,PctRecImmig8,PctNotSpeakEnglWell,PctLargHouseFam,PersPerOccupHous,PersPerRentOccHous,PctPersDenseHous,PctHousLess3BR,MedNumBR,HousVacant,PctHousOccup,PctVacantBoarded,PctVacMore6Mos,MedYrHousBuilt,PctHousNoPhone,PctWOFullPlumb,OwnOccMedVal,OwnOccQrange,RentQrange,MedRent,MedRentPctHousInc,MedOwnCostPctInc,MedOwnCostPctIncNoMtg,NumInShelters,NumStreet,PctForeignBorn,PctBornSameState,PctSameHouse85,PctSameCity85,PctSameState85,LandArea,PopDens,PctUsePubTrans,larcPerPop,pctMinority,PctLarcPerPop,PctSingleParent,CommTransience,PctVacant,TotalHomeless,PctUnhoused
Sherman,TX,1,31601,12.63,83.22,0.77,4.39,100,24763,1.54,37.36,7.02,15.2,12929,15.61,24.86,19.23,7.19,57.76,25.33,27.59,15.74,15.26,68.41,72.96,603,2.47,65.46,1.05,1.66,0.81,3.66,2.42,2.31,3.41,52.11,2,1807,87.33,2.77,42.34,1965,7.89,0.3,49800,41400,142,380,23.8,17.1,12.9,1,0,2.97,65.73,44.95,74.82,88.66,38.7,816.1,0,5654.8,16.78,17.894370431315465,31.590000000000003,38.17,12.670000000000002,1,0
San Pablo,CA,1,25158,21.34,49.42,17.21,26.78,100,25479,0,24.98,23.63,13.18,10505,19.02,34.18,11.64,10.16,55.94,15.39,20.63,17.38,18.96,58.06,61.68,1479,7.44,62.3,8.65,12.59,10.8,12.43,2.84,2.79,18.18,72.06,2,714,92.42,3.78,18.35,1963,6.25,0.64,117900,49900,190,564,33,24.3,11.8,20,49,26.41,47.45,38.61,69.21,89.27,2.7,9387.3,11.22,5404.4,50.58,21.481834804038474,41.94,48.24,7.579999999999998,69,0.27
Bowling Green,KY,1,40641,12.18,86.39,1.12,0.68,0,20043,1.24,34.02,9.6,13.84,11760,23.91,28.52,23.41,6.93,58.62,16.08,29.05,15.13,13.43,64.6,68.49,996,3.56,59.74,0.76,0.82,0.59,2.99,2.29,2.17,2.49,53.27,2,1528,91.27,1.51,28.93,1966,10.67,0.23,58200,44300,136,332,27.9,20,12.3,28,2,1.54,70.53,41.51,72.68,88.87,30,1354.2,0.28,3895.99,13.61,9.586353682,35.400000000000006,38.43,8.730000000000004,30,0.07
Pine Bluff,AR,1,57140,53.52,45.65,0.49,0.43,100,19143,0.63,24.41,13.58,14.16,9530,27.71,34.5,16.56,11.05,51.37,17.94,27.79,18.07,14.18,58.65,70.59,4401,8.51,39.31,0.23,0.24,0.54,7.86,2.64,2.65,5.43,46.91,3,2318,90,4.06,39.65,1964,11.65,0.73,41200,31800,135,333,29.1,17.5,15.7,28,0,0.71,80.16,56.01,85.46,92.02,43.9,1301.5,0.93,3424.02,54.35,5.992334616730837,41.35,26.12,10,28,0.05
New Ulm,MN,1,13132,0.06,99.21,0.47,0.59,0,25797,2.53,56.06,6.6,12.89,11907,6.84,25.41,15.31,3.67,65.62,27.69,20.11,22.67,8.37,79.99,85.52,100,0.87,26.05,0.16,0.24,0.42,3.61,2.43,1.88,0.94,38.26,3,180,96.65,0,40.56,1956,1.5,0.65,53200,29200,132,293,24.9,15.8,11.5,0,0,0.91,83.77,61.36,80.63,93.19,8.9,1481.2,0.08,2069.62,0.7900000000000063,15.760127931769722,20.010000000000005,24.75,3.3499999999999943,0,0
Maplewood,MN,1,30954,2.52,94.39,2.03,1.55,100,37856,0.89,51.08,4.87,16.45,16459,6.22,14.64,20.28,4.17,68.12,21.56,22.97,11.78,11.14,76.68,76.64,666,2.71,35.22,0.29,0.62,0.69,3.71,2.62,2.08,1.43,42.87,3,624,94.85,2.08,25.96,1969,0.35,0.35,87800,33600,193,512,26.9,21.2,12,0,0,2.62,77.05,55.61,81.72,92.71,17.9,1724.8,3.35,4776.1,5.609999999999999,15.429669832654907,23.319999999999993,28.54,5.150000000000006,0,0
Enfield,CT,1,45532,2.65,95.72,1.04,2.28,96.51,44635,0.71,50.24,3.78,18.37,16723,2.89,21.62,17.59,4.01,68.24,26.12,16.06,13.94,9.76,81.96,75.19,413,1.3,27.01,0.61,0.89,0.92,4.08,2.73,2.29,1.23,32.43,3,629,96.21,0.16,29.89,1960,0.89,0.13,143400,36700,282,668,24.8,22.6,13.1,8,1,5.22,47.43,60.3,83.68,88.85,34.6,1314.3,1.28,1987.5,4.280000000000001,4.365061934463673,18.040000000000006,36.2,3.7900000000000063,9,0.02
Glendale,CA,1,180038,1.3,74.02,14.14,20.96,100,34372,0.62,40.04,11.27,11.51,17966,14.37,22.83,28.55,6.95,60.04,14.43,24.78,9.07,13.33,77.1,59.33,3034,2.62,60.4,18.71,22.94,15.46,6.98,2.59,2.56,18.31,75.17,2,3510,95.13,2.25,17.69,1962,1.53,0.46,343600,220000,252,688,30.5,25.3,11.6,82,17,45.19,29.68,37.69,73.29,76.85,31.7,5677.3,4.15,2509.23,25.980000000000004,1.393722436374543,22.900000000000006,53.11,4.8700000000000045,99,0.05
Worthington,OH,1,14869,2.28,94.74,2.67,0.74,100,49851,0.89,69.45,1.59,19.47,22647,2.35,5.95,54.76,2.57,66.85,10.06,43.92,2.33,11.09,82.5,72.84,86,0.74,28.84,0.77,1.27,0.53,2.47,2.6,2.14,0.43,18.79,3,164,97.14,0.61,30.49,1963,0.18,0.21,117500,58900,199,465,24.6,18.7,11.4,10,0,4.73,58.81,59.75,85.21,89.74,5.8,2552.7,1.96,2739.73,5.260000000000005,18.42578519066514,17.5,32.08,2.8599999999999994,10,0.07
Arlington,TX,1,261721,8.41,82.64,3.92,8.91,100,35048,0.81,39.01,2.71,9.12,16239,8.21,12.19,29.99,4.99,74.65,18.91,18.97,10.6,14.79,78.19,71.53,2898,1.89,56.86,2.3,3.41,2.2,4.07,2.58,2.25,4.95,47.54,3,12116,89.26,1.81,27.45,1978,5.5,0.14,82800,46100,157,444,23.7,22,11.8,47,1,7.64,51.54,36.76,67.01,84.09,96.4,2716.3,0.14,3938.78,17.36,1.5049537484573268,21.810000000000002,48.23,10.739999999999995,48,0.02
Plymouth,MN,1,50889,1.61,95.66,2.04,1.02,100,51314,1.19,58.68,2.41,7.95,21908,3.36,5.56,41.39,3.24,78.05,19.44,22.51,7.08,10.17,85.61,73.32,407,1.31,36.92,0.59,0.76,0.56,3.3,2.72,2.08,1.21,40.32,3,1255,93.6,0.08,14.5,1979,0.29,0.14,127400,69800,157,611,22.9,21.7,11.5,0,0,2.61,63.24,43.01,76.47,85.75,34.1,1491.7,2.64,2418.09,4.340000000000003,4.751694865295055,14.39,39.09,6.400000000000006,0,0
New York,NY,1,7322564,28.71,52.26,7,24.36,100,29823,0.48,35.38,13.12,12.56,16281,19.29,31.68,22.98,8.98,56.12,11.41,28.4,11.64,14.02,57.64,56.42,527557,10.5,45.77,7.26,10.34,9.84,9.16,2.54,2.43,12.3,73.76,2,172768,94.23,4.83,40.33,1946,7.33,1.25,189600,94900,295,496,25.7,21.8,14.1,23383,10447,28.45,53.09,63.06,82.76,89.78,320.1,22878.2,54.33,3212.39,47.74,0.043869743,42.36,33.7,5.769999999999996,33830,0.46
Marina,CA,1,26436,18.97,53.6,20.84,10.73,100,29043,0.53,28.69,6.9,15.99,11338,9.67,15.83,17.01,3.5,75.2,6.69,20.66,9.67,11.83,80.12,64.58,258,1.69,43.12,3.36,5.48,4.31,7.26,3.05,3.18,11.94,55.65,2,353,95.73,0.57,3.12,1976,1.62,0.24,172500,45700,177,666,31.6,23.3,12.3,0,0,18.34,24.24,26.33,46.38,54.52,9.1,2917.9,1.93,3526.76,46.4,13.340747465577243,19.879999999999995,67.68,4.269999999999996,0,0
Lebanon,NH,1,12183,0.41,97.55,1.55,0.91,0,32221,0.51,38.36,3.37,10.47,15012,6.07,17.61,26.78,3.14,69.56,14.87,36.57,11.79,13.85,74.41,77.15,160,1.78,37.77,0.71,1.07,1.23,1.9,2.32,2.02,1.26,56.02,2,545,90.47,1.28,34.31,1957,3.83,0.79,117200,59500,196,499,26.1,23.7,13.7,2,0,3.09,54.87,42.07,69.61,75.44,41.8,291.4,0.75,4694.68,2.450000000000003,38.53467947139457,25.590000000000003,44.48,9.530000000000001,2,0.02
Rockledge,FL,1,16023,13.79,83.94,1.42,2.4,100,34934,0.3,47.11,2.74,23.43,15534,5.75,14.21,21.25,5.39,64.92,18.44,24.03,9.88,13.36,77.22,75.78,167,1.41,23.72,0.57,0.91,0.75,3.74,2.58,2.45,2.26,29.4,3,437,93.31,1.14,29.52,1972,2.03,0.08,73900,30600,137,543,24.5,20.9,11.3,0,0,4.63,28.32,45.19,75.45,81.03,10.1,1581.4,0.58,4002.66,16.060000000000002,24.980715221868564,22.78,50.35,6.689999999999998,0,0
Rogers,AR,1,24692,0.06,97.72,0.77,1.86,0,26198,1.36,42.1,3.92,16.09,12779,8.72,22.43,15.11,3.31,63.1,27.42,16.18,22.66,13.38,78.73,75.45,173,0.89,29.94,0.34,0.4,0.75,3.36,2.51,2.38,2.8,41.45,3,586,94.31,0.34,26.45,1976,8.04,0.4,60300,30700,121,389,24.8,19.6,11.7,0,0,1.43,40.4,39.82,70.19,77.43,23,1073.9,0,3938.79,2.280000000000001,15.951684756196338,21.269999999999996,49.86,5.689999999999998,0,0
Bellaire,TX,1,13842,0.41,94.65,1.98,7.95,100,45892,1.07,65.77,0.73,15.55,24462,3.33,7.59,48.93,2.69,70.55,8.73,31.56,3.65,15.57,78.29,74.41,27,0.32,30.16,0.27,0.77,1.21,2.69,2.35,2.33,1.36,30.49,3,319,94.85,1.25,32.6,1953,0.87,0.24,108900,63100,187,675,20.2,18.5,12.1,0,0,5.08,60.71,57.14,86.99,94.36,3.7,3697.1,1.11,2388.92,5.349999999999994,17.258488657708423,21.709999999999994,31.72,5.150000000000006,0,0
El Cajon,CA,1,88693,2.92,87.36,2.82,13.97,100,28108,0.53,34.68,12.74,16.03,13518,12.92,21.49,14.45,7.07,61.86,12.47,21.82,11.44,19.09,65.86,62.42,2000,3.29,50.16,3.04,4.25,3.17,5.26,2.63,2.63,8.76,63.54,2,1560,95.47,1.47,11.03,1970,2.97,0.24,158000,81500,153,548,30.8,23.6,10.8,13,76,9.71,45.45,35.36,77.14,83.16,14.9,5943,2.17,4634.68,12.64,5.225530763419886,34.14,47.35,4.530000000000001,89,0.1
Moses Lake,WA,1,11235,1.89,82.45,1.82,18.16,0,23258,1.78,34.4,10.28,16.58,10965,15.28,26.49,14.51,6.5,57.18,18.92,22.82,16.52,13.25,75.49,71.15,183,1.84,40,1.86,2.39,2.94,5.93,2.55,2.29,4.87,47.7,3,321,93.07,2.18,38.94,1963,6.75,0.32,53900,34800,148,306,26.2,16.1,11.5,0,0,6.19,48.88,44.43,76.23,87.33,9.4,1189.1,0.09,7103.83,17.549999999999997,63.22946150422786,24.510000000000005,43.49,6.930000000000007,0,0
West Memphis,AR,1,28259,42.15,56.94,0.52,0.5,100,22052,1.32,21.89,13.69,9.35,10009,22.94,37.55,10.76,8.34,59.29,14.03,21.22,19.96,16.28,60.12,72.4,2412,9.54,28.34,0.04,0.17,0.18,7.83,2.83,2.77,6.3,43.55,3,626,94.04,8.31,28.75,1967,12.35,1.08,50900,30200,163,343,29,20.5,14.1,13,0,0.66,53.03,52.14,82.37,88.6,14.9,1900.7,0.1,2860.32,43.06,10.121801903818254,39.88,37.49,5.959999999999994,13,0.05
Eunice,LA,1,11162,26.96,72.26,0.4,0.78,0,14874,0.8,20.56,18.81,11.52,7635,38.27,44.84,10.82,13.93,42.8,7.98,30.42,14.6,12.76,67.27,50.89,667,5.78,28,0,0,2.4,9,2.74,2.86,7.17,40.73,3,410,90.68,7.32,47.8,1963,14.35,0.64,39100,31900,112,261,28.6,23,15.3,0,0,0.22,93.09,62.57,89.93,98.48,4.8,2323.5,0.78,2583.28,27.739999999999995,23.143522666188858,32.730000000000004,18.14,9.319999999999993,0,0
Laredo,TX,1,122899,0.12,70.83,0.38,93.87,100,18395,1.17,18.24,16.71,7.95,6981,37.29,51.16,11.63,11.24,51.36,5.4,23.07,14.83,10.95,75.51,52.73,3070,2.8,39.74,5.27,7.23,21.64,21.34,3.78,3.54,26.43,53.73,2,1969,94.21,6.4,42.25,1972,12.42,2.11,52500,41300,178,315,27.6,22.6,12.8,4,0,24.37,67.12,60.11,86.08,91.7,34.1,3608.7,3.55,4089.41,29.17,3.3274558784042183,24.489999999999995,28.9,5.790000000000006,4,0
Amsterdam,NY,1,20714,1.46,93.15,0.56,11.61,0,22166,0.32,47.13,7.08,21.6,11991,13.5,31.33,12.33,8.97,52.65,23.6,25.83,19.07,11.8,65.74,69.23,529,3.28,25.28,1.14,1.3,2.49,4.07,2.33,2.21,1.79,36.94,3,713,92.49,2.1,59.05,1939,6.72,0.66,71000,38500,131,337,24.7,18.6,14.5,2,0,6.03,81.86,61.42,85.56,93.76,6.2,3353.7,2.6,1567.81,6.849999999999994,7.568842328859708,34.260000000000005,23.72,7.510000000000005,2,0.01
Gorham,ME,1,11856,0.37,98.84,0.4,0.45,33.1,36618,1.2,51.29,4.56,14.76,14049,4.05,13.97,26,5.73,67.68,14.71,28.53,13.59,10.65,80.48,78.54,56,0.72,18.95,0.13,0.36,0.24,3.62,2.77,2.27,1.2,38.37,3,134,96.69,0,42.54,1968,1.17,0.71,119800,64900,201,526,28,23.5,12.6,0,0,2.58,71.76,51.97,79.39,91.47,52.5,225.9,0.88,568.56,1.1599999999999966,4.795546558704452,19.519999999999996,32.29,3.3100000000000023,0,0
Rock Springs,WY,1,19050,1.17,94.31,0.96,7.46,0,34372,1.11,40.93,5.74,12.84,14767,8.87,17.5,14.84,5.13,67.09,7.72,19.53,14.84,12.21,78.88,68.72,149,1.06,3.06,0,0,0.61,5.33,2.65,2.31,2.83,46.05,3,929,88.47,7.53,52.42,1972,3.51,0.81,71800,34000,149,348,19,17.5,11.3,5,0,1.72,48.45,54.59,83.65,89.98,19.1,998.4,5.76,4342.05,5.689999999999998,22.792913385826772,21.120000000000005,37.77,11.530000000000001,5,0.03
Oakdale,CA,1,11961,0.24,88.57,1.11,17.04,0,27230,1.88,33.34,13.22,18.4,11994,12.63,30.95,9.97,10.34,54.22,19.74,18.37,17.94,16.32,70.31,61.73,248,2.51,37.7,1.68,2.5,3.08,5.56,2.67,2.73,7.42,49.8,3,185,95.98,1.08,21.08,1972,3.3,0.11,108900,62000,182,472,28.7,21.4,12.4,11,0,8.16,62.95,39.82,76.72,94.06,4.2,2853.3,0,3628.74,11.430000000000007,30.338098821168796,29.689999999999998,40.17,4.019999999999996,11,0.09
Henderson,NC,1,15655,52.88,46.59,0.19,0.54,0,18499,0.69,24.1,13.17,14.45,10912,24.07,43.91,11.92,7.91,57.23,32.28,20.54,28.7,16.06,49.68,75.86,1450,9.53,37.02,0.31,0.31,0.68,6.31,2.54,2.63,5.05,46.78,3,429,93.34,4.9,45.45,1960,12.61,1.45,50800,40600,133,316,29.5,18.5,13.9,0,0,1.15,81.21,57.15,86.06,91.66,7.3,2134,0.11,6893.8,53.41,44.03577131906739,50.32,25.19,6.659999999999997,0,0
Norco,CA,1,23302,7.95,82.42,1.36,19.55,100,51594,2.55,38.24,5.92,12.75,15142,5.34,24.25,10.32,5.1,48.14,21.21,14.52,14.49,12.03,82.9,57.79,536,3.46,33.19,1.21,1.34,2.25,10.56,3.27,3.19,6.06,22.51,3,193,96.66,3.63,26.42,1970,2.5,0.24,203400,106300,385,714,28.2,25.1,11.9,0,0,7.18,58.08,45.88,59.47,94.53,14.2,1641.4,0.27,2237.3,17.58,9.601321775,17.099999999999994,45.52,3.3400000000000034,0,0
Greenville,MS,1,45226,59.63,39.76,0.43,0.56,0,18060,0.58,20.33,18.48,11.31,9081,31.96,38.54,15.58,12.45,51.79,19.98,25.33,19,14.97,52.47,73.08,5134,12.32,44.4,0.18,0.25,0.21,11.3,2.91,2.93,9.73,45.71,3,1170,92.91,12.14,37.26,1965,11.02,0.83,42500,30900,163,332,32.3,21.1,15,6,0,0.55,84.59,59.55,88.62,93.77,27,1672.6,0.24,5912.36,60.24,13.072922655109892,47.53,22.41,7.090000000000003,6,0.01
San Carlos,CA,1,26167,0.94,91.3,6.07,6.46,100,54658,0.52,62.49,2.52,18.84,28161,2.73,8.38,35.77,2.43,69.33,16.34,23.36,6.28,12.87,82.5,71,91,0.58,25.43,1.33,2.19,1.64,2.14,2.36,2.06,1.98,44.78,3,294,97.41,0.68,21.09,1957,0.56,0,407500,171901,361,810,26.6,27.7,11.9,0,0,12.55,55.31,58.4,82.21,92.84,5.8,4486.8,3.98,2076.84,8.700000000000003,7.936867046279667,17.5,34.69,2.5900000000000034,0,0
San Angelo,TX,1,84474,4.8,78.81,1.14,27.99,100,23534,2.24,37.05,6.25,14.14,11353,18.5,29.08,17.61,7.71,61.16,12.63,25.81,14.72,13.83,74.97,71.83,1223,1.9,29.72,0.72,1.06,3.89,5.71,2.59,2.45,6.6,52.54,2,3958,88.57,1.64,34.69,1967,7.89,0.47,48300,37200,150,365,25.4,20.2,13,240,1,5.38,69.08,45.39,73.13,87.74,49.6,1702.6,0.68,3687.11,21.189999999999998,4.364786798304804,25.03,37.47,11.430000000000007,241,0.29
Barberton,OH,1,27623,5.26,94.08,0.29,0.33,100,21688,0.47,36.17,12.39,24.38,10366,16.93,31.19,7.88,8.67,51.76,28.81,19.41,21.56,13.8,66.86,61.45,1047,4.37,8.79,0.07,0.07,0.45,3.99,2.47,2.32,1.45,44.54,3,649,94.47,3.39,42.84,1949,5.1,0.48,44000,22700,133,340,26.6,17,13.1,0,0,1.44,79.34,59.58,91.71,96.11,7.9,3513.5,1.91,3547.62,5.920000000000002,12.842993157875682,33.14,23.12,5.530000000000001,0,0
Pontiac,MI,1,71166,42.2,51.25,1.36,8.01,100,21962,0.11,20.23,22.07,16.66,9847,26.67,37.61,7.95,14.4,51.07,26.9,23.36,24.49,19.81,46.61,59.61,7538,12.73,32.78,0.34,0.5,1.35,9.52,2.76,2.61,6.93,55.71,2,1816,93.17,12.83,37.78,1954,8.97,0.46,36300,17900,191,436,30.5,17.2,14,132,3,2.31,66.2,51.8,86.51,92.67,20.7,3434.7,0.9,2818.88,48.75,3.9609926088300593,53.39,31.83,6.829999999999998,135,0.19
Suffolk,VA,1,52141,44.58,54.68,0.38,0.61,74.94,26125,1.98,29.04,10.49,18.76,11831,17.28,36.09,12.26,7.06,57.9,21.98,22.32,19.26,11.88,67.53,70.29,3651,8.21,38.8,0.14,0.27,0.31,6.44,2.78,2.73,3.41,34.4,3,1495,92.53,9.83,47.22,1967,10.47,4.04,70700,50700,198,376,28.7,22.4,14.3,0,10,0.83,74.77,59.38,80.79,93.24,414.5,125.8,1.63,3558.36,45.32,6.824495119004238,32.47,28.35,7.469999999999999,10,0.02
Martinsville,VA,1,16162,36.84,62.7,0.2,0.37,0,22446,0.51,35.91,8.64,16.7,13742,15.61,37.05,15.82,5.68,57.4,43.8,18.11,30.35,15.14,59.28,77.01,1100,7.8,45.07,0.04,0.33,0.51,4.18,2.35,2.2,2.44,47.1,3,471,93.56,5.52,47.35,1959,6.58,0.52,52700,47400,134,320,23.7,18.9,13.2,17,3,0.88,74.95,61.23,81.36,92.68,11.4,1423.7,0,6133.82,37.3,37.95210988739017,40.72,27.49,6.439999999999998,20,0.12
Brick,NJ,1,66473,0.63,97.81,0.83,2.58,100,38742,0.39,48.04,3.6,22.5,16523,3.74,20.23,16.51,5.55,60.08,12.53,21.8,11.95,9,84.22,64.45,502,1.03,16.69,0.56,0.66,0.85,4.06,2.65,2.46,1.31,44.45,3,3878,86.55,0.72,60.24,1972,0.67,0.16,133100,61500,216,721,32.6,25.7,17.4,17,0,4.71,71.99,61.13,77.21,94.05,27.2,2441,1.75,1773.32,2.1899999999999977,2.667729754938095,15.780000000000001,29.89,13.450000000000003,17,0.03
Laguna Beach,CA,1,23170,0.7,95.77,1.74,6.86,100,53419,1.49,57.16,2.75,13.14,40537,6.14,5.87,49.02,1.84,72.93,10.39,29.52,3.13,19.21,76.69,70.85,40,0.3,31.89,2.32,3,2.03,2.54,2.08,1.84,2.34,59.3,2,1759,86.31,0.57,15.52,1960,0.39,0.44,471300,156101,349,879,27.9,25.4,11.8,6,50,11.17,41.06,44.53,76.43,88.97,9,2575.6,1.97,3635.15,4.230000000000004,15.689037548554166,23.310000000000002,45.99,13.689999999999998,56,0.24
Robstown,TX,1,12849,1.85,62.03,0.19,91.07,0,16180,1.59,13.09,24.32,9.2,5740,37.04,61.8,6.31,12.26,44.19,16.67,21.07,22.14,12.4,72.16,44.65,489,3.45,20.96,0.16,0.34,14.64,18.52,3.56,3.63,20.25,50.24,2,554,86.6,25.81,75.63,1960,17.21,3.15,30700,24500,138,265,28.7,21.4,14,0,0,4.97,92.04,69.4,95.85,99.9,9.6,1345.2,1.23,2392.56,37.97,18.620593042260097,27.840000000000003,14.24,13.400000000000006,0,0
